seed,flux,f01,f12,Ic,anharmonicity
8249,1.363709,8.158752,7.831771,0.061202,-0.326981
8249,1.414213,8.491188,8.199355,0.069120,-0.291833
8249,1.464717,8.731057,8.463904,0.075911,-0.267154
8249,1.515221,8.886989,8.637561,0.081415,-0.249428
8249,1.565725,8.965872,8.729256,0.085584,-0.236616
8249,1.616229,8.973452,8.745971,0.088461,-0.227482
8249,1.666733,8.914747,8.693486,0.090136,-0.221260
8249,1.717237,8.794352,8.576889,0.090738,-0.217463
8249,1.767741,8.616681,8.401007,0.090419,-0.215674
8249,1.818245,8.386218,8.171007,0.089354,-0.215211
8249,1.868749,8.107998,7.893522,0.087716,-0.214476
8249,1.919254,7.788770,7.578850,0.085689,-0.209920
8249,1.969758,7.439698,7.244599,0.083449,-0.195099
8249,2.020262,7.081538,6.919414,0.081165,-0.162124
8249,2.070766,6.751068,6.641618,0.078987,-0.109450
8249,2.121270,6.500391,6.446844,0.077044,-0.053546
8249,2.171774,6.375906,6.351167,0.075448,-0.024738
8249,2.222278,6.385110,6.346827,0.074283,-0.038284
8249,2.272782,6.489897,6.410697,0.073615,-0.079200
8249,2.323286,6.636601,6.513762,0.073497,-0.122838
8249,2.373790,6.785971,6.629942,0.073973,-0.156030
8249,2.424294,6.921057,6.742842,0.075082,-0.178215
8249,2.474798,7.041499,6.847099,0.076857,-0.194400
8249,2.525302,7.155652,6.945456,0.079290,-0.210196
8249,2.575806,7.274400,7.044614,0.082290,-0.229786
8249,2.626310,7.406788,7.151544,0.085653,-0.255243
8249,2.676814,7.557171,7.270709,0.089096,-0.286462
8249,2.727318,7.724012,7.402352,0.092313,-0.321660
8249,2.777822,7.900321,7.541975,0.095001,-0.358346
8249,2.828326,8.075264,7.680936,0.096878,-0.394328
8249,2.878830,8.236113,7.807798,0.097705,-0.428316
8249,2.929334,8.369817,7.909811,0.097285,-0.460006
8249,2.979838,8.463899,7.974067,0.095497,-0.489832
8249,3.030342,8.506742,7.988133,0.092287,-0.518608
8249,3.080846,8.487436,7.940258,0.087680,-0.547178
8249,3.131351,8.395424,7.819348,0.081770,-0.576076
8249,3.181855,8.220069,7.614945,0.074717,-0.605124
8249,3.232359,7.950261,7.317431,0.066726,-0.632830
8249,3.282863,7.574147,6.918719,0.058073,-0.655428
8249,3.333367,7.079069,6.413800,0.053822,-0.665268
8249,3.383871,6.451932,5.803740,0.051775,-0.648192
8249,3.434375,5.680620,5.100954,0.049206,-0.579666
8249,3.484879,4.758726,4.337361,0.045898,-0.421365
8249,3.535383,3.702921,3.573327,0.041812,-0.129594
8249,3.585887,2.625294,2.893576,0.037012,0.268282
8249,3.636391,1.979072,2.354080,0.031659,0.375008
8249,3.686895,2.243422,2.156856,0.026004,-0.086566
8249,3.737399,2.734729,2.348272,0.021840,-0.386457
8249,3.787903,2.889787,2.287616,0.028714,-0.602171
8249,3.838407,2.313760,2.326951,0.035100,0.013191
8249,3.888911,1.526723,2.965116,0.040859,1.438394
8249,3.939415,1.980369,3.458889,0.045934,1.478520
8249,3.989919,2.998356,3.904302,0.050361,0.905946
8249,4.040423,3.952352,4.440263,0.054254,0.487910
8249,4.090927,4.775448,4.998319,0.057765,0.222871
8249,4.141431,5.482734,5.528503,0.061019,0.045769
8249,4.191935,6.092634,6.009182,0.063999,-0.083452
8249,4.242439,6.618714,6.433069,0.066492,-0.185645
8249,4.292943,7.070321,6.798952,0.068169,-0.271369
8249,4.343447,7.453832,7.107952,0.068715,-0.345880
8249,4.393952,7.773576,7.361900,0.067929,-0.411676
8249,4.444456,8.032477,7.562647,0.065772,-0.469830
8249,4.494960,8.232513,7.711769,0.062420,-0.520745
8249,4.545464,8.375066,7.810444,0.058451,-0.564622
8249,4.595968,8.461172,7.859395,0.055541,-0.601777
8249,4.646472,8.491651,7.858769,0.054983,-0.632882
8249,4.696976,8.467031,7.807860,0.054942,-0.659171
